type=GAUGE, name=jvm.fd.usage, value=0.0029296875
type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.usage, value=0.008431077003479004
type=GAUGE, name=jvm.memory.pools.Compressed-Class-Space.used, value=9052800
type=GAUGE, name=jvm.memory.pools.Metaspace.committed, value=68026368
type=GAUGE, name=jvm.memory.pools.Metaspace.init, value=0
type=GAUGE, name=jvm.memory.pools.Metaspace.max, value=-1
type=GAUGE, name=jvm.memory.pools.Metaspace.usage, value=0.9822056059203396
type=GAUGE, name=jvm.memory.pools.Metaspace.used, value=66815880
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.committed, value=324534272
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.init, value=16777216
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.max, value=326107136
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.usage, value=0.6582507412533285
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.used, value=214660264
type=GAUGE, name=jvm.memory.pools.PS-Eden-Space.used-after-gc, value=0
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.committed, value=111149056
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.init, value=45088768
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.max, value=716177408
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.usage, value=0.12626351933179103
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.used, value=90427080
type=GAUGE, name=jvm.memory.pools.PS-Old-Gen.used-after-gc, value=50998800
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.committed, value=15728640
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.init, value=2621440
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.max, value=15728640
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.usage, value=0.4269465128580729
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.used, value=6715288
type=GAUGE, name=jvm.memory.pools.PS-Survivor-Space.used-after-gc, value=6715288
type=GAUGE, name=jvm.memory.total.committed, value=556400640
type=GAUGE, name=jvm.memory.total.init, value=69664768
type=GAUGE, name=jvm.memory.total.max, value=954728447
type=GAUGE, name=jvm.memory.total.used, value=414542288
type=GAUGE, name=thread-states.blocked.count, value=0
type=GAUGE, name=thread-states.count, value=16
type=GAUGE, name=thread-states.daemon.count, value=9
type=GAUGE, name=thread-states.deadlock.count, value=0
type=GAUGE, name=thread-states.deadlocks, value=[]
type=GAUGE, name=thread-states.new.count, value=0
type=GAUGE, name=thread-states.runnable.count, value=5
type=GAUGE, name=thread-states.terminated.count, value=0
type=GAUGE, name=thread-states.timed_waiting.count, value=7
type=GAUGE, name=thread-states.waiting.count, value=4
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.CREATE_PROXY_GRANTING_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.CREATE_TICKET_GRANTING_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.DELETE_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.DESTROY_TICKET_GRANTING_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.GET_TICKETS_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.GET_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.GRANT_PROXY_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.GRANT_SERVICE_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.DefaultCentralAuthenticationService.VALIDATE_SERVICE_TICKET_COUNTER, count=0
type=COUNTER, name=org.apereo.cas.authentication.PolicyBasedAuthenticationManager.AUTHENTICATE_COUNT, count=0
